Status;Tese;Área responsável;Objeto da tese;Estado;Ramo de atividade;Regime tributário;Tipo de produto que industrializa;Observações;Clientes possíveis;Data de criação;Inicial
Ativo;Planejamento Tributário Focado na Tributação da Renda;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Programa de Conformidade ECD, ECF, TP e Lei do Bem;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Projeto SEDECTI;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Reforma Tributária;"Consultivo
Fiscal";;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Reestruturação Societária / Planejamento Familiar;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Ressarcimento de Crédito Acumulado de IPI;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Reinvestimento SUDAM;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Fiscal Administrativa;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão de ECF e Recuperação de Créditos Tributários;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Fiscal DAS Simples Nacional;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Fiscal IPI;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Fiscal IRPJ CSLL;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Gross UP;"Fiscal
Contencioso";;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Fiscal PIS COFINS;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Suspensão de débito;"Fiscal
Contencioso";;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Revisão Previdenciária;Fiscal;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Treinamento ZFM Pós-Reforma;Consultivo;;;Não aplicável;Não aplicável;Não aplicável;;Clique aqui;2026-01-05;
Ativo;Exclusão do ISS da Base de Cálculo do PIS COFINS na Importação de Serviços;Contencioso;Ação judicial com o objetivo de reconhecer o direito da empresa à exclusão do ISS da base de cálculo do PIS e da COFINS incidentes na importação de serviços, assegurando a restituição ou compensação dos valores indevidamente recolhidos nos últimos cinco anos;;;;Não aplicável;Empresa que importa serviços;Clique aqui;2026-01-22;
Ativo;Lucro Presumido - majoração de 10%;Contencioso;Ação judicial buscando afastar a majoração de 10% da alíquota de presunção de lucro utilizada para determinação da base de cálculo do IRPJ e CSLL pelo regime do Lucro Presumido, conforme preconiza o Art. 4º, § 4º, inciso VII c/c § 5º da Lei Complementar nº 224/25. ;;;Lucro Presumido;Não aplicável;;;;"Seja assegurado aos substituídos processuais o direito de apurar e recolher
o IRPJ e a CSLL pelo regime do Lucro Presumido com base nos percentuais
de presunção previstos nas Leis nº 9.249/95 e nº 9.430/96, sem aplicação do
acréscimo de 10% sobre a parcela da receita excedente"
Ativo;PIS/COFINS sobre Locação de bens móveis e/ou imóveis na ZFM ;Contencioso;ação judicial visando reconhecer a não incidência das contribuições sociais ao PIS e à COFINS sobre as receitas decorrentes da locação de bens móveis e/ou imóveis na ZFM, bem como garantir a restituição do montante indevidamente pago nos últimos cinco anos.;AM;;"Lucro Real
Lucro Presumido";Não aplicável;Empresas da Zona Franca de Manaus que possuam receitas de locação de bens imóveis e/ou imóveis próprios, para pessoas físicas ou jurídicas, realizadas no âmbito da Zona Franca de Manaus.;;;"o DEFERIMENTO de medida liminar
inaudita altera parte com o fim de SUSPENDER A
EXIGIBILIDADE das contribuições sociais ao PIS e à COFINS incidentes sobre as
receitas auferidas pela locação de bens móveis e de bens imóveis, inclusive no caso das
retenções na fonte realizado por órgãos públicos da administração direta e/ou indireta,
DETERMINANDO-SE, ainda, que o Impetrado se abstenha de adotar quaisquer atos de cobrança
relativos ao objeto da presente ação, tais como registro no CADIN, restrições ao CNPJ, autuações
fiscais, negativas de expedição de certidões e outros atos tendentes a dificultar o desenvolvimento
regular da atividade social da Impetrante"
Ativo;Inclusão de Reservas de Subvenção na Base de Cálculo do JCP;Contencioso;"Ação judicial
visando permitir a inclusão, na base de cálculo dos Juros sobre Capital Próprio
(JCP), do valor correspondente ao Capital Social integralizado por meio da
utilização de reservas de subvenções para investimento, reconhecendo a natureza
de capital dessas reservas e possibilitando a dedução dos respectivos valores para
fins de IRPJ e CSLL.";"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;;;"Conceder in limine litis e inaudita altera parte a
medida liminar (art. 7º, inc. III, LMS) para suspender
imediatamente a aplicação da restrição contida no art.
75, § 1º, inciso V, da Instrução Normativa RFB nº
1.700/2017, com redação dada pela IN RFB nº 2.201/2024,
assegurando às Impetrantes o direito de incluir, na base de cálculo dos Juros sobre o Capital Próprio
(JCP), o capital social integralizado com valores
provenientes da reserva de incentivos fiscais, bem
como de afastar, desde logo, os efeitos fiscais
decorrentes dessa restrição — especialmente a
majoração indireta das bases de cálculo do IRPJ e da
CSLL —, sem sofrer qualquer autuação, glosa, multa ou
penalidade decorrente da aplicação da referida norma,
até o julgamento final da presente ação;"
Ativo;JCP Retroativo – Dedução de IRPJ e CSLL;Contencioso;"Ação judicial visando permitir a
dedução, da base de cálculo do IRPJ e da CSLL, dos valores de Juros sobre Capital
Próprio (JCP) referentes a exercícios anteriores, reconhecendo o direito da
empresa de considerar tais valores como despesas dedutíveis e pleitear a
restituição ou compensação dos tributos pagos a maior.";"SP
AM
OUTROS";"Indústria
Comércio
Serviço
Transporte";Lucro Real;Não aplicável;;;;"A concessão da medida liminar, nos termos do
art. 7º, III, da Lei nº 12.016/2009, para assegurar
às Impetrantes que possam proceder à dedução dos
valores pagos ou creditados a título de Juros sobre
Capital Próprio (JCP) na apuração do IRPJ e da CSLL,
inclusive quando apurados com base em lucros e
reservas de exercícios anteriores, nos limites
definidos pelo art. 9º da Lei nº 9.249/1995,
impedindo a prática de quaisquer atos
administrativos tendentes à glosa dos referidos
valores ou imposição de sanções fiscais decorrentes
do exercício regular de tal direito;"
